Truth    Predicted    Review 
1        0            believe whalestriangle thingssprites fly
 
0        1            film lacked energy consistent pace well

1        0            filmclass discussion windsor college students articulate inevitable laws sequels never live originals
 
0        1            fun time

1        0            fact risk sounding sacrilegious adorning fans scream would say scream 2 might even better film
 
0        1            shite movie

1        0            meanwhile tv journalist gale weathers courtney cox covered murders first film since written book dreadful events book titled stab developed major motion picture
 
0        1            thats movie builds enough background characters screen could actually get care

1        0            scream 2 opens crowd overzealous teenagers piling crowded movie theater premiere stab long young couple butchered death unnoticed midst hysteria
 
0        1            also movie thats supposed exotic locations wasnt necessarily impressed exterior shots even less interiors looked like shot room

1        0            marks beginning new murder spree unknown copycat sets repeat whats done
 
0        1            raiders lost ark 1010 mummy 810 lost space 710 mummy returns 610 generals daughter 310 romancing stone 710 wild wild west 310 mission impossible 2 710

1        0            wind first person suspected believe kept changing mind tried stay one ahead movie
 
0        1            two party guys bob heads haddaways dance hit love

1        0            actors outdo
 
0        1            getting trouble nightclub nightclub

1        0            talking oscar performances cambell cox david arquette dewey riley jamie kennedy randy give surprisingly satisfying performances go beyond last outing
 
0        1            emphasis word presumably

1        0            skip two years doesnt seem holes shortcuts taken connecting two flicks
 
0        1            _a_night_at_the_roxbury_ takes alreadythin concept tediously stretches far beyond breaking pointand viewers patience levels

1        0            flows well feel like youre reading chapter two book long chapters eh
 
0        1            love

1        0            would top series quite well werent fact two movies dont really make series
 
0        1            blaring soundtrack brotherly duo doug steve butabi chris kattan ferrell bob heads scope hotties clubs bump select violent pelvic thrusts

1        0            unlikely assume scream 3 wont appear next years decide turn undeniably acclaimed horrortrilogy lets hope keep fantastic work
 
0        1            little fact used justification films existence butabis newfound capacity speech would open whole new set doors characters

1        0            like say dont mess perfection
 
0        1            doors opened director john fortenberry screenwriters steve koren ferrell kattan new thats sure lead comic dead ends

1        0            moneymaking smashhit almost guaranteed whos gonna listen
 
0        1            story per se loosely structured linked series subplots

1        0            one highlights come madefortv movies 1974 entry called missiles october also recreated historic event almost embroiled us ussr world nuclear showdown
 
0        1            brothers literally run rather get run car richard grieco _21_jump_street_ fame gain entrance exclusive roxbury club

1        0            quarter century landmark tv movie director roger donaldson producer kevin costner team together last time taught spy thriller way reenact events dangerous time americas worlds history
 
0        1            doug refuses dimwitted steve obeys father rift created two

1        0            taken viewpoint special assistant president kenneth p odonnell costner donaldson crew recreate volatile event country plunged could total nuclear war
 
0        1            granted lot people _have_ seen _jerry_maguire_ fact films best joke completely dependent ones familiarity another film says lot _roxbury_s lack inspiration

1        0            odonnell gets ready head work one october morning deals usual family crises problems
 
0        1            watching one roxbury skits snl come away characters bob heads love

1        0            thirteen days differs missiles october expected scope project
 
0        1            watching _a_night_at_the_roxbury_ youll left exactly

1        0            big difference budgetwise making television docudrama one goes big screen
 
0        1            plot sounds like cheesy pulp science fiction story 1950s actually serves one purpose exploit nude women often possible
